lines_of_code,cyclomatic_complexity,essential_complexity,design_complexity,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_intelligence,halstead_effort,halstead_bugs,halstead_time,lines_of_code_clean,lines_of_comments,lines_blank,lines_code_and_comment,unique_operators,unique_operands,total_operators,total_operands,branch_count,is_buggy,file_path,repo_name,dataset_source
53,6,24,11,1758,589.172180166272,0.6404392121036413,53.856657639514914,225.29733878233336,97138.76650614227,0.4242922177746716,340.25821189267225,368,33,4,42,10,53,95,340,5,False,KC1_module_0,KC1,PROMISE
389,32,22,5,142,626.2744858140284,0.2015349753923832,77.41419354354865,724.0122521843483,55345.99933380615,2.557655683188237,149.83283269230597,82,21,23,8,5,48,418,458,0,False,KC1_module_1,KC1,PROMISE
330,48,17,5,807,665.0995467438411,0.8880586950148697,38.50792767844776,837.3834783054255,27164.947299292617,2.253687939091437,186.75475571140333,103,52,32,31,23,11,100,43,13,False,KC1_module_2,KC1,PROMISE
225,43,26,7,927,3135.889355920529,0.8117523712192651,59.16442976302822,80.78536393781044,48948.65398289303,3.7565607230157134,530.7564019360696,214,66,3,25,14,16,110,170,8,False,KC1_module_3,KC1,PROMISE
222,14,4,12,1599,697.6479246271522,0.3495636114520338,96.65405991144944,882.0777094381044,3827.298211052468,2.323012935965182,846.1815293449878,16,26,19,30,12,61,237,139,0,False,KC1_module_4,KC1,PROMISE
430,23,27,5,275,4276.673357858305,0.5786092968125244,52.67603129768702,797.5172040531791,80419.71591028044,1.7190798446218554,70.6507157711106,148,76,12,5,23,59,220,293,23,False,KC1_module_5,KC1,PROMISE
52,27,25,18,879,3795.930423195673,0.1410272999500146,91.0699600752369,869.6842957069654,10233.361580356654,1.3082745781647205,30.4809091246494,81,63,1,23,13,57,163,271,17,False,KC1_module_6,KC1,PROMISE
351,13,15,10,321,4117.063405366318,0.972346247933598,79.57358980138626,698.4285545788399,30943.974001450195,1.3907337273498557,465.16813583684313,195,16,40,31,23,19,184,439,27,True,KC1_module_7,KC1,PROMISE
108,14,22,17,1579,2677.6965817415025,0.9028926876302836,6.813149483364821,674.1530672939647,56575.12304579384,4.6392395091390695,956.1874150536348,326,93,22,17,9,53,154,460,14,True,KC1_module_8,KC1,PROMISE
56,12,16,13,1271,4983.718336443852,0.9218975064992004,43.480788275456426,525.0932333448638,4393.215052125197,0.8253930104390617,279.0098034141264,370,4,37,43,7,10,457,388,13,False,KC1_module_9,KC1,PROMISE
