file_path,is_buggy,lines_of_code,cyclomatic_complexity_x,essential_complexity,design_complexity,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_intelligence,halstead_effort,halstead_bugs,halstead_time,lines_of_code_clean,lines_of_comments,lines_blank,lines_code_and_comment,unique_operators,unique_operands,total_operators,total_operands,branch_count,code_churn_30d,code_churn_90d,commit_count_30d,commit_count_90d,author_count_90d,bug_fix_count_90d,fix_density,days_since_last_change,commit_burst_30d,ownership_score,cyclomatic_complexity_y,cognitive_complexity,max_nesting_depth,num_functions,num_classes,avg_function_length,num_imports,ast_node_count,has_try_except,max_args_per_function
KC1_module_0,0,3.9889840465642745,6,24,11,7.472500744737558,6.380414325115734,0.6404392121036413,53.856657639514914,225.29733878233336,11.483906112212908,0.4242922177746716,5.832639410363983,368,33,4,42,10,53,4.564348191467836,5.831882477283517,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_1,0,5.966146739123692,32,22,5,4.962844630259907,6.44138422125469,0.2015349753923832,77.41419354354865,724.0122521843483,10.9213777240892,2.557655683188237,5.016172155299331,82,21,23,8,5,48,6.037870919922137,6.129050210060545,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_2,0,5.802118375377063,48,17,5,6.694562058521095,6.501439128956271,0.8880586950148697,38.50792767844776,837.3834783054255,10.20971953042961,2.253687939091437,5.235136620344234,103,52,32,31,23,11,4.61512051684126,3.784189633918261,13,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_3,0,5.420534999272286,43,26,7,6.833031732786201,8.05098693690258,0.8117523712192651,59.16442976302822,80.78536393781044,10.798547579147014,3.7565607230157134,6.27618549337989,214,66,3,25,14,16,4.709530201312334,5.14166355650266,8,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_4,0,5.407171771460119,14,4,12,7.3777589082278725,6.5491469309747785,0.3495636114520338,96.65405991144944,882.0777094381044,8.250175652112388,2.323012935965182,6.741914992048807,16,26,19,30,12,61,5.472270673671475,4.941642422609304,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_5,0,6.066108090103747,23,27,5,5.62040086571715,8.361164532790426,0.5786092968125244,52.67603129768702,797.5172040531791,11.2950270825539,1.7190798446218554,4.2718031440513675,148,76,12,5,23,59,5.3981627015177525,5.683579767338681,23,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_6,0,3.970291913552122,27,25,18,6.779921907472252,8.241948235912128,0.1410272999500146,91.0699600752369,869.6842957069654,9.233506120024531,1.3082745781647205,3.4493813025683306,81,63,1,23,13,57,5.099866427824199,5.605802066295998,17,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_7,1,5.863631175598097,13,15,10,5.7745515455444085,8.323138284595553,0.972346247933598,79.57358980138626,698.4285545788399,10.339965874019617,1.3907337273498557,6.144546375567458,195,16,40,31,23,19,5.220355825078324,6.0867747269123065,27,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_8,1,4.6913478822291435,14,22,17,7.365180126021013,7.89308560510188,0.9028926876302836,6.813149483364821,674.1530672939647,10.943342320871114,4.6392395091390695,6.863999208281296,326,93,22,17,9,53,5.043425116919247,6.133398042996649,14,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
KC1_module_9,0,4.04305126783455,12,16,13,7.148345743900068,8.514132178581745,0.9218975064992004,43.480788275456426,525.0932333448638,8.388044193969318,0.8253930104390617,5.634824614749646,370,4,37,43,7,10,6.126869184114185,5.963579343618446,13,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0,0,0,0,0,0.0,0.0,0.0,0,0
